name,ra,dec,vmag
HIP 93085,18 57 43.7797,-21 06 23.848,3.52
HIP 9347,02 00 00.2248,-21 04 39.979,3.99
HIP 89341,18 13 45.8087,-21 03 31.789,3.84
HIP 94141,19 09 45.8338,-21 01 24.691,2.88
HIP 27654,05 51 19.1528,-20 52 39.050,3.76
HIP 25606,05 28 14.7263,-20 45 33.236,2.81
HIP 78933,16 06 48.4325,-20 40 08.885,3.93
HIP 115438,23 22 58.3015,-20 06 01.242,3.96
HIP 78820,16 05 26.2349,-19 48 19.414,2.56
HIP 31592,06 36 40.9989,-19 15 20.553,3.95
HIP 3419,00 43 35.2283,-17 59 12.063,2.04
HIP 30324,06 22 41.9874,-17 57 21.300,1.98
HIP 95168,19 21 40.3753,-17 50 50.106,3.92
HIP 25985,05 32 43.8139,-17 49 20.252,2.58
HIP 59803,12 15 48.4678,-17 32 31.141,2.58
HIP 51069,10 26 05.5050,-16 50 09.945,3.83
シリウス,06 45 09.2499,-16 42 47.315,-1.44
HIP 106985,21 40 05.3422,-16 39 44.112,3.69
HIP 60965,12 29 51.9832,-16 30 54.338,2.94
HIP 24305,05 12 55.8731,-16 12 19.544,3.29
HIP 52943,10 49 37.4321,-16 11 38.875,3.11
HIP 107556,21 47 02.2853,-16 07 35.637,2.85
HIP 72622,14 50 52.7773,-16 02 29.798,2.75
HIP 8102,01 44 05.1275,-15 56 22.401,3.49
HIP 113136,22 54 39.0392,-15 49 14.736,3.27
HIP 84012,17 10 22.6624,-15 43 30.531,2.43
HIP 86263,17 37 35.2252,-15 23 54.270,3.54
HIP 27288,05 46 57.3497,-14 49 19.010,3.55
HIP 76333,15 35 31.5394,-14 47 22.393,3.91
HIP 100345,20 21 00.6464,-14 46 53.044,3.05
HIP 55282,11 19 20.5226,-14 46 44.557,3.56
HIP 21594,04 38 10.8709,-14 18 12.913,3.86
HIP 28103,05 56 24.3183,-14 10 04.937,3.71
HIP 18543,03 58 01.7301,-13 30 29.681,2.97
HIP 100064,20 18 03.2185,-12 32 41.492,3.58
HIP 49841,10 10 35.3971,-12 21 13.821,3.61
スピカ,13 25 11.6046,-11 09 40.482,0.98
ウヌクアルハイ,16 37 09.5300,-10 34 01.746,2.54
HIP 8645,01 51 27.6106,-10 20 05.803,3.74
HIP 5364,01 08 35.2637,-10 10 54.941,3.46
HIP 88048,17 59 01.5976,-09 46 24.059,3.32
HIP 17378,03 43 14.9561,-09 45 54.715,3.52
HIP 27366,05 47 45.3879,-09 40 10.567,2.07
HIP 37447,07 41 14.8767,-09 33 03.899,3.94
HIP 102618,20 47 40.5326,-09 29 44.484,3.78
HIP 16537,03 32 56.4216,-09 27 29.901,3.72
HIP 74785,15 17 00.4718,-09 22 58.321,2.61
HIP 13701,02 56 25.6038,-08 53 51.395,3.89
HIP 1562,00 19 25.6830,-08 49 25.786,3.56
HIP 46390,09 27 35.2518,-08 39 31.260,1.99
HIP 91117,18 35 12.4379,-08 14 35.909,3.85
リゲル,05 14 32.2712,-08 12 05.901,0.18
HIP 6537,01 24 01.4512,-08 10 57.913,3.60
HIP 112961,22 52 36.8645,-07 34 46.844,3.73
HIP 30867,06 28 49.0741,-07 01 58.982,3.76
HIP 24674,05 17 36.3989,-06 50 39.790,3.59
HIP 29651,06 14 51.3365,-06 16 29.019,3.99
HIP 26241,05 35 25.9811,-05 54 35.639,2.75
HIP 71957,14 43 03.5623,-05 39 26.745,3.87
HIP 106278,21 31 33.5207,-05 34 16.161,2.90
HIP 23875,05 07 51.0340,-05 05 10.546,2.78
HIP 93805,19 06 14.9499,-04 52 56.404,3.43
HIP 79882,16 18 19.2408,-04 41 33.389,3.23
HIP 41307,08 25 39.6709,-03 54 22.913,3.91
HIP 79593,16 14 20.7662,-03 41 38.312,2.73
HIP 77516,15 49 37.2657,-03 25 48.508,3.54
HIP 21444,04 36 19.1406,-03 21 08.813,3.93
HIP 89962,18 21 18.9206,-02 53 49.639,3.23
HIP 26549,05 38 44.7653,-02 36 00.244,3.77
HIP 25281,05 24 28.6171,-02 23 49.698,3.35
HIP 26727,05 40 45.5248,-01 56 33.282,1.74
HIP 61941,12 41 40.0021,-01 26 58.280,2.74
HIP 110395,22 21 39.3000,-01 23 14.471,3.86
HIP 26311,05 36 12.8126,-01 12 06.902,1.69
HIP 47431,09 39 51.3340,-01 08 33.566,3.90
HIP 99473,20 11 18.2648,-00 49 17.312,3.24
HIP 60129,12 19 54.3914,-00 40 00.290,3.89
HIP 66249,13 34 41.7547,-00 35 45.378,3.38
HIP 109074,22 05 47.0253,-00 19 11.376,2.95
HIP 25930,05 32 00.3997,-00 17 56.736,2.25
HIP 110960,22 28 49.8006,-00 01 12.227,3.65
HIP 97804,19 52 28.3638,+01 00 20.442,3.87
HIP 57757,11 50 41.2861,+01 45 55.357,3.59
HIP 72220,14 46 14.9918,+01 53 34.578,3.73
HIP 80883,16 30 54.8412,+01 59 02.762,3.82
HIP 45336,09 14 21.7933,+02 18 54.087,3.89
HIP 22797,04 54 15.0956,+02 26 26.417,3.71
HIP 87108,17 47 53.5740,+02 42 26.851,3.75
HIP 9487,02 02 02.8006,+02 45 49.538,3.82
HIP 88192,18 00 38.7155,+02 55 53.715,3.93
HIP 95501,19 25 29.7527,+03 06 52.485,3.36
HIP 12706,02 43 18.1246,+03 14 10.218,3.47
HIP 114971,23 17 09.4936,+03 16 56.083,3.70
HIP 63090,12 55 36.4833,+03 23 51.355,3.39
HIP 14135,03 02 16.7791,+04 05 23.731,2.54
HIP 77622,15 50 48.8912,+04 28 39.287,3.71
HIP 86742,17 43 28.3769,+04 34 00.901,2.76
プロキオン,07 39 18.5381,+05 13 39.028,0.40
HIP 104987,21 15 49.3967,+05 14 53.066,3.92
HIP 22549,04 51 12.3660,+05 36 18.365,3.68
HIP 43813,08 55 23.6848,+05 56 43.900,3.11
